date,store_id,sku_id,category,forecast_demand
2026-01-31,ST001,SKU0001,PERSONALCARE,3.7666666666666666
2026-02-01,ST001,SKU0001,PERSONALCARE,5.161290322580645
2026-02-02,ST001,SKU0001,PERSONALCARE,3.4
2026-02-03,ST001,SKU0001,PERSONALCARE,3.3
2026-02-04,ST001,SKU0001,PERSONALCARE,3.0
2026-02-05,ST001,SKU0001,PERSONALCARE,3.4
2026-02-06,ST001,SKU0001,PERSONALCARE,3.3225806451612905
2026-02-07,ST001,SKU0001,PERSONALCARE,3.7666666666666666
2026-02-08,ST001,SKU0001,PERSONALCARE,5.161290322580645
2026-02-09,ST001,SKU0001,PERSONALCARE,3.4
2026-02-10,ST001,SKU0001,PERSONALCARE,3.3
2026-02-11,ST001,SKU0001,PERSONALCARE,3.0
2026-02-12,ST001,SKU0001,PERSONALCARE,3.4
2026-02-13,ST001,SKU0001,PERSONALCARE,3.3225806451612905
2026-02-14,ST001,SKU0001,PERSONALCARE,3.7666666666666666
2026-02-15,ST001,SKU0001,PERSONALCARE,5.161290322580645
2026-02-16,ST001,SKU0001,PERSONALCARE,3.4
2026-02-17,ST001,SKU0001,PERSONALCARE,3.3
2026-02-18,ST001,SKU0001,PERSONALCARE,3.0
2026-02-19,ST001,SKU0001,PERSONALCARE,3.4
2026-02-20,ST001,SKU0001,PERSONALCARE,3.3225806451612905
2026-02-21,ST001,SKU0001,PERSONALCARE,3.7666666666666666
2026-02-22,ST001,SKU0001,PERSONALCARE,5.161290322580645
2026-02-23,ST001,SKU0001,PERSONALCARE,3.4
2026-02-24,ST001,SKU0001,PERSONALCARE,3.3
2026-02-25,ST001,SKU0001,PERSONALCARE,3.0
2026-02-26,ST001,SKU0001,PERSONALCARE,3.4
2026-02-27,ST001,SKU0001,PERSONALCARE,3.3225806451612905
2026-01-31,ST001,SKU0002,HOMECARE,4.0
2026-02-01,ST001,SKU0002,HOMECARE,3.838709677419355
2026-02-02,ST001,SKU0002,HOMECARE,2.9
2026-02-03,ST001,SKU0002,HOMECARE,3.433333333333333
2026-02-04,ST001,SKU0002,HOMECARE,3.3
2026-02-05,ST001,SKU0002,HOMECARE,2.9
2026-02-06,ST001,SKU0002,HOMECARE,3.838709677419355
2026-02-07,ST001,SKU0002,HOMECARE,4.0
2026-02-08,ST001,SKU0002,HOMECARE,3.838709677419355
2026-02-09,ST001,SKU0002,HOMECARE,2.9
2026-02-10,ST001,SKU0002,HOMECARE,3.433333333333333
2026-02-11,ST001,SKU0002,HOMECARE,3.3
2026-02-12,ST001,SKU0002,HOMECARE,2.9
2026-02-13,ST001,SKU0002,HOMECARE,3.838709677419355
2026-02-14,ST001,SKU0002,HOMECARE,4.0
2026-02-15,ST001,SKU0002,HOMECARE,3.838709677419355
2026-02-16,ST001,SKU0002,HOMECARE,2.9
2026-02-17,ST001,SKU0002,HOMECARE,3.433333333333333
2026-02-18,ST001,SKU0002,HOMECARE,3.3
2026-02-19,ST001,SKU0002,HOMECARE,2.9
2026-02-20,ST001,SKU0002,HOMECARE,3.838709677419355
2026-02-21,ST001,SKU0002,HOMECARE,4.0
2026-02-22,ST001,SKU0002,HOMECARE,3.838709677419355
2026-02-23,ST001,SKU0002,HOMECARE,2.9
2026-02-24,ST001,SKU0002,HOMECARE,3.433333333333333
2026-02-25,ST001,SKU0002,HOMECARE,3.3
2026-02-26,ST001,SKU0002,HOMECARE,2.9
2026-02-27,ST001,SKU0002,HOMECARE,3.838709677419355
2026-01-31,ST001,SKU0003,SNACKS,7.6
2026-02-01,ST001,SKU0003,SNACKS,9.4
2026-02-02,ST001,SKU0003,SNACKS,6.733333333333333
2026-02-03,ST001,SKU0003,SNACKS,6.4
2026-02-04,ST001,SKU0003,SNACKS,7.666666666666667
2026-02-05,ST001,SKU0003,SNACKS,7.8
2026-02-06,ST001,SKU0003,SNACKS,7.354838709677419
2026-02-07,ST001,SKU0003,SNACKS,7.6
2026-02-08,ST001,SKU0003,SNACKS,9.4
2026-02-09,ST001,SKU0003,SNACKS,6.733333333333333
2026-02-10,ST001,SKU0003,SNACKS,6.4
2026-02-11,ST001,SKU0003,SNACKS,7.666666666666667
2026-02-12,ST001,SKU0003,SNACKS,7.8
2026-02-13,ST001,SKU0003,SNACKS,7.354838709677419
2026-02-14,ST001,SKU0003,SNACKS,7.6
2026-02-15,ST001,SKU0003,SNACKS,9.4
2026-02-16,ST001,SKU0003,SNACKS,6.733333333333333
2026-02-17,ST001,SKU0003,SNACKS,6.4
2026-02-18,ST001,SKU0003,SNACKS,7.666666666666667
2026-02-19,ST001,SKU0003,SNACKS,7.8
2026-02-20,ST001,SKU0003,SNACKS,7.354838709677419
2026-02-21,ST001,SKU0003,SNACKS,7.6
2026-02-22,ST001,SKU0003,SNACKS,9.4
2026-02-23,ST001,SKU0003,SNACKS,6.733333333333333
2026-02-24,ST001,SKU0003,SNACKS,6.4
2026-02-25,ST001,SKU0003,SNACKS,7.666666666666667
2026-02-26,ST001,SKU0003,SNACKS,7.8
2026-02-27,ST001,SKU0003,SNACKS,7.354838709677419
2026-01-31,ST001,SKU0004,SNACKS,7.033333333333333
2026-02-01,ST001,SKU0004,SNACKS,7.7
2026-02-02,ST001,SKU0004,SNACKS,6.7
2026-02-03,ST001,SKU0004,SNACKS,7.366666666666666
2026-02-04,ST001,SKU0004,SNACKS,7.0
2026-02-05,ST001,SKU0004,SNACKS,9.266666666666667
2026-02-06,ST001,SKU0004,SNACKS,8.903225806451612
2026-02-07,ST001,SKU0004,SNACKS,7.033333333333333
2026-02-08,ST001,SKU0004,SNACKS,7.7
2026-02-09,ST001,SKU0004,SNACKS,6.7
2026-02-10,ST001,SKU0004,SNACKS,7.366666666666666
2026-02-11,ST001,SKU0004,SNACKS,7.0
2026-02-12,ST001,SKU0004,SNACKS,9.266666666666667
